player_id;name_first;name_last;hand;dob;ioc;height;wikidata_id;Name
210622;Jakub;Prachar;U;20030509.0;CZE;;;Jakub Prachar
210623;Jakub;Filip;U;20050925.0;CZE;;;Jakub Filip
210624;Jorge;Ruiz;U;20050118.0;ECU;;;Jorge Ruiz
210625;Philippe;Mercelina;U;20020212.0;NED;;;Philippe Mercelina
210626;Juan Martin;Bosmediano Pazmino;U;19990321.0;ECU;;;Juan Martin Bosmediano Pazmino
210627;Omar;Suarez Berrezueta;U;20041214.0;ECU;;;Omar Suarez Berrezueta
210628;Luca  Julian;Hotze;U;20030523.0;USA;;;Luca  Julian Hotze
210629;Alejandro;Juan Mano ;U;20050114.0;ESP;;;Alejandro Juan Mano 
210630;Otso;Martikainen;U;20060120.0;FIN;;;Otso Martikainen
210631;Linus;Lagerbohm;U;20071210.0;FIN;;;Linus Lagerbohm
210632;Vadym;Konovchuk;U;20030814.0;UKR;;;Vadym Konovchuk
210633;Sergi;Mico Fenollar ;U;20020402.0;ESP;;;Sergi Mico Fenollar 
210634;Chris;Spyrou;U;20060831.0;GRE;;;Chris Spyrou
210635;Ian;Turner;U;20000330.0;USA;;;Ian Turner
210636;Camden ;Camacho;U;20010609.0;GUM;;;Camden  Camacho
210637;Dylan;Charlap;U;20051005.0;USA;;;Dylan Charlap
210638;Yu Lun;Chen;U;20040928.0;TPE;;;Yu Lun Chen
210639;Aarman;Sachdev;U;20050901.0;GUM;;;Aarman Sachdev
210640;Huzaifa Abdul;Rehman;U;20021128.0;PAK;;;Huzaifa Abdul Rehman
210641;Diego;Marin ;U;20040807.0;USA;;;Diego Marin 
210642;Mao;Takada;U;19970308.0;JPN;;;Mao Takada
210643;Hanival;Kahsay;U;20051111.0;AUS;;;Hanival Kahsay
210644;Itamar;Tapiro;U;20041215.0;ISR;;;Itamar Tapiro
210645;Ofek;Shimanov ;U;20050703.0;ISR;;;Ofek Shimanov 
210646;Patricio;Nieto;U;20000703.0;MEX;;;Patricio Nieto
210647;Rafael Alfonso;De Alba Valdes;U;20020315.0;MEX;;;Rafael Alfonso De Alba Valdes
210648;Aleksa;Krivokapic;U;20030515.0;MNE;;;Aleksa Krivokapic
210649;Giammarco;Gandolfi;U;20040124.0;ITA;;;Giammarco Gandolfi
210650;Stefan Adrian;Andreescu;U;20011224.0;ROU;;;Stefan Adrian Andreescu
210651;Vlad Cristian;Breazu;U;20031224.0;ROU;;;Vlad Cristian Breazu
210652;Dragos Nicolae;Cazacu;U;20040210.0;ROU;;;Dragos Nicolae Cazacu
210653;Eric David;Verdes;U;20040401.0;ROU;;;Eric David Verdes
210654;Patorn;Hanchaikul;U;20020522.0;THA;;;Patorn Hanchaikul
210655;Guntinun;Sootinun Opart;U;20030829.0;THA;;;Guntinun Sootinun Opart
210656;Leon;Berg;U;20030917.0;GER;;;Leon Berg
210657;Shivank;Bhatnagar;U;20000918.0;IND;;;Shivank Bhatnagar
210658;Andreas;Scott;U;20030721.0;GBR;;;Andreas Scott
210659;Aman;Sharma;U;20031015.0;USA;;;Aman Sharma
210660;Luis;Francisco ;U;20030316.0;ESP;;;Luis Francisco 
210661;Hudson Rivera;Rivera;U;20040529.0;USA;;;Hudson Rivera Rivera
